headline,url,publisher,date,stock
NOAA Awards Recent NV5 Acquisition Quantum Spatial $18.8Mllion Shoreline Mapping Contract,https://www.benzinga.com/news/20/01/15151181/noaa-awards-recent-nv5-acquisition-quantum-spatial-18-8mllion-shoreline-mapping-contract,Charles Gross,2020-01-20 00:00:00,NVEE
A Peek Into The Market Before The Trading Starts,https://www.benzinga.com/news/12/08/2823263/a-peek-into-the-market-before-the-trading-starts,Lisa Levin,2012-08-10 00:00:00,JNS
Stocks That Hit 52-Week Lows On Monday,https://www.benzinga.com/news/19/10/14628483/stocks-that-hit-52-week-lows-on-monday,Lisa Levin,2019-10-21 00:00:00,PDCE
"Macy's Suspends Dividend, Withdraws Guidance; Co. Also Elected To Access $1.5B Available Under Revolving Credit Facility",https://www.benzinga.com/news/20/03/15620849/macys-suspends-dividend-withdraws-guidance-co-also-elected-to-access-1-5b-available-under-revolving,Benzinga Newsdesk,2020-03-20 00:00:00,M
"Benzinga's Top Upgrades, Downgrades For March 6, 2017",https://www.benzinga.com/analyst-ratings/upgrades/17/03/9133135/benzingas-top-upgrades-downgrades-for-march-6-2017,Lisa Levin,2017-03-06 00:00:00,BTI
UPDATE: CSX Focusing On Achieving Mid-60s Operating Ratio Long-Term,https://www.benzinga.com/news/16/07/8214840/update-csx-focusing-on-achieving-mid-60s-operating-ratio-long-term,Hal Lindon,2016-07-13 00:00:00,CSX
Brent Up On Hopes of an Improving Global Economy,https://www.benzinga.com/news/13/07/3769255/brent-up-on-hopes-of-an-improving-global-economy,Laura Brodbeck,2013-07-22 00:00:00,DBE
JP Morgan Upgrades HCA Healthcare to Overweight,https://www.benzinga.com/news/17/11/10851253/jp-morgan-upgrades-hca-healthcare-to-overweight,Eddie Staley,2017-11-30 00:00:00,HCA
Piper Jaffray Lowers PT On Cornerstone OnDemand To $21,https://www.benzinga.com/analyst-ratings/price-target/11/08/1847242/piper-jaffray-lowers-pt-on-cornerstone-ondemand-to-21,Joe Young,2011-08-10 00:00:00,CSOD
Henry Schein (HSIC) Up 5.3% Since Earnings Report: Can It Continue?,https://www.benzinga.com/17/06/9599645/henry-schein-hsic-up-5-3-since-earnings-report-can-it-continue,Zacks,2017-06-13 00:00:00,HSIC
"Stifel Nicolaus Maintains Buy on Polypore International Inc, Lowers PT to $41.00",https://www.benzinga.com/news/13/04/3474296/stifel-nicolaus-maintains-buy-on-polypore-international-inc-lowers-pt-to-41-00,Juan Lopez,2013-04-05 00:00:00,PPO
"Shear and Stornoway Option Chesterfield Inlet Claims, Nunavut",https://www.benzinga.com/09/08/1313/shear-and-stornoway-option-chesterfield-inlet-claims-nunavut,Benzinga Staff,2009-08-10 00:00:00,NI
US Stock Futures Flat Ahead Of Caterpillar Earnings,https://www.benzinga.com/news/13/01/3278092/us-stock-futures-flat-ahead-of-caterpillar-earnings,Monica Gerson,2013-01-28 00:00:00,CAT
GE Capital To Acquire MetLife US Retail Deposit Business,https://www.benzinga.com/news/11/12/2229350/ge-capital-to-acquire-metlife-us-retail-deposit-business,Lisa Levin,2011-12-27 00:00:00,MET
Jim Cramer Interviews Imax CEO Richard Gelfond on Mad Money,https://www.benzinga.com/media/cnbc/12/04/2466605/jim-cramer-interviews-imax-ceo-richard-gelfond-on-mad-money,Charles Gross,2012-04-02 00:00:00,IMAX
How to Profit from the Greek Threat of Default,https://www.benzinga.com/markets/bonds/11/09/1912015/how-to-profit-from-the-greek-threat-of-default,Daniel Hayden IV,2011-09-12 00:00:00,NBG
"UPDATE: Citigroup Reiterates Neutral Rating, Raises PT on Ingersoll-Rand",https://www.benzinga.com/analyst-ratings/analyst-color/12/10/3014867/update-citigroup-reiterates-neutral-rating-raises-pt-on-,Dwight Einhorn,2012-10-22 00:00:00,IR
Mid-Day Market Update: Universal Display Climbs After Strong Q4 Results; Zoe's Kitchen Shares Plummet,https://www.benzinga.com/news/earnings/17/02/9094496/mid-day-market-update-universal-display-climbs-after-strong-q4-results-z,Lisa Levin,2017-02-24 00:00:00,OLED
Salesforce.com Is Macquarie's Overall Top Pick In Enterprise Software,https://www.benzinga.com/analyst-ratings/analyst-color/16/04/7883816/salesforce-com-is-macquaries-overall-top-pick-in-enterpr,Jim Swanson,2016-04-26 00:00:00,CRM
Raymond James Downgrades Hercules Offshore to Underperform,https://www.benzinga.com/news/15/01/5172271/raymond-james-downgrades-hercules-offshore-to-underperform,Paul Quintaro,2015-01-23 00:00:00,HERO
"Mid-Day Market Update: Santarus Surges On Earnings Beat, Impax Tumbles",https://www.benzinga.com/news/earnings/13/03/3391472/mid-day-market-update-santarus-surges-on-earnings-beat-impax-tumbles,Jake L'Ecuyer,2013-03-05 00:00:00,CREE
American Airlines Says All Long-Haul International Flying Has Been Pulled Down With Exception Of London Heathrow And Tokyo Narita,https://www.benzinga.com/news/20/03/15610032/american-airlines-says-all-long-haul-international-flying-has-been-pulled-down-with-exception-of-lon,Benzinga Newsdesk,2020-03-19 00:00:00,AAL
Shares of several industrial companies are trading higher in sympathy with the overall market as equities rally on coronavirus vaccine hopes as well as a pickup in economic activity as some US states reopen businesses.,https://www.benzinga.com/wiim/20/05/16107418/shares-of-several-industrial-companies-are-trading-higher-in-sympathy-with-the-overall-market-as-equ,Benzinga Newsdesk,2020-05-26 11:26:09-04:00,DE
A Peek Into The Market Before The Trading Starts,https://www.benzinga.com/news/13/05/3618825/a-peek-into-the-market-before-the-trading-starts,Lisa Levin,2013-05-24 00:00:00,ACTG
62 Biggest Movers From Yesterday,https://www.benzinga.com/news/18/08/12289176/62-biggest-movers-from-yesterday,Lisa Levin,2018-08-31 00:00:00,CIEN
Albemarle Announces Quarterly Dividend of $0.165/Share (ALB),https://www.benzinga.com/news/11/05/1075658/albemarle-announces-quarterly-dividend-of-0-165share-alb,Allie Wickman,2011-05-11 00:00:00,ALB
"Charles Gasparino @CGasparino Tweet:Carl's ppl DID look at $LL; he isnt buy now cant say about the future @FoxBusiness ""the power to prosper!""",https://www.benzinga.com/news/15/04/5390823/charles-gasparino-cgasparino-tweet-carls-ppl-did-look-at-ll-he-isnt-buy-now-cant-,Charles Gross,2015-04-08 00:00:00,LL
30 Stocks Moving In Tuesday's Pre-Market Session,https://www.benzinga.com/news/19/07/14079947/30-stocks-moving-in-tuesdays-pre-market-session,Lisa Levin,2019-07-16 00:00:00,JBHT
"Earnings Scheduled For May 19, 2015",https://www.benzinga.com/news/earnings/15/05/5521381/earnings-scheduled-for-may-19-2015,Monica Gerson,2015-05-19 00:00:00,AINV
Watch These 8 Huge Call Purchases In Wednesday Trade,https://www.benzinga.com/markets/options/17/01/8915869/watch-these-8-huge-call-purchases-in-wednesday-trade,Lisa Levin,2017-01-18 00:00:00,P
"Stocks That Will Be Trading Ex Dividend Wed., Jan. 9, 2019",https://www.benzinga.com/news/19/01/12951203/stocks-that-will-be-trading-ex-dividend-wed-jan-9-2019,Benzinga Newsdesk,2019-01-08 00:00:00,BRC
"Cannabis Stock Gainers And Losers From November 6, 2019",https://www.benzinga.com/markets/cannabis/19/11/14749194/cannabis-stock-gainers-and-losers-from-november-6-2019,Eric TerBush,2019-11-06 00:00:00,GWPH
"Credit Suisse Maintains Outperform on Chipotle Mexican Grill, Raises Price Target to $1010",https://www.benzinga.com/news/20/02/15257032/credit-suisse-maintains-outperform-on-chipotle-mexican-grill-raises-price-target-to-1010,Benzinga_Newsdesk,2020-02-05 00:00:00,CMG
"Herman Miller Reports Q2 EPS $0.57 vs. Est. $0.53, Rev. $580.4M vs. Est. $581.15M",https://www.benzinga.com/news/earnings/15/12/6054533/herman-miller-reports-q2-eps-0-57-vs-est-0-53-rev-580-4m-vs-est-581-15m,Hal Lindon,2015-12-16 00:00:00,MLHR
"Karen Finerman Says Potash ""Unbuyable"" (POT)",https://www.benzinga.com/news/10/11/581586/karen-finerman-says-potash-unbuyable-pot,Roger Nachman,2010-11-04 00:00:00,BHP
Technical Alert: Mylan Labs Declines For Third Day In A Row,https://www.benzinga.com/intraday-update/16/08/8383397/technical-alert-mylan-labs-declines-for-third-day-in-a-row,Eddie Staley,2016-08-23 00:00:00,MYL
"People's United Financial To Acquire First Connecticut Bancorp, Inc. In A Stock Transaction Valued At ~$544M; First Connecticut Shareholders Will Receive $1.725 Shares Of People's United Stock For Each First Connecticut Shar",https://www.benzinga.com/news/m-a/18/06/11899263/peoples-united-financial-to-acquire-first-connecticut-bancorp-inc-in-a-stock,Benzinga Newsdesk,2018-06-19 07:32:23-04:00,FBNK
ATK Awarded $30 Million in Orders for Non-Standard Ammunition,https://www.benzinga.com/news/11/09/1916424/atk-awarded-30-million-in-orders-for-non-standard-ammunition,Eddie Staley,2011-09-14 00:00:00,ATK
"Tug-of-War: Volatile October Continues As Bulls, Bears Duke It Out",https://www.benzinga.com/news/earnings/18/10/12541609/tug-of-war-volatile-october-continues-as-bulls-bears-duke-it-out,JJ Kinahan,2018-10-22 00:00:00,KMB
Nortek Inc. Reports Q2 EPS of $(2.97) Which May Not Compare $1.45 Est; Revenue of $718.60M Which May Not Compare $682.35M Est,https://www.benzinga.com/news/earnings/14/08/4754720/nortek-inc-reports-q2-eps-of-2-97-which-may-not-compare-1-45-est-revenue,Eddie Staley,2014-08-04 00:00:00,NTK
"Plug Power Reports Expanded Contract With FM Logistic, No Terms Disclosed",https://www.benzinga.com/news/19/07/14059151/plug-power-reports-expanded-contract-with-fm-logistic-no-terms-disclosed,Benzinga Newsdesk,2019-07-11 00:00:00,PLUG
Incyte Corp Draws Bull Action After Earnings,https://www.benzinga.com/trading-ideas/long-ideas/265528/incyte-corp-draws-bull-action-after-earnings,Michael J. Zerinskas,2010-05-06 00:00:00,INCY
"Canaccord Maintains Buy, $415 Target On Netflix As Firm Continues To Think Co's '$15 billion cash content budget and the breadth of its existing content library should allow it to maintain its market leadership'",https://www.benzinga.com/analyst-ratings/analyst-color/19/10/14614379/canaccord-maintains-buy-415-target-on-netflix-as-firm-continues-to-think-cos-15-bil,Benzinga_Newsdesk,2019-10-17 00:00:00,NFLX
Stocks That Hit 52-Week Highs On Tuesday,https://www.benzinga.com/news/20/02/15247386/stocks-that-hit-52-week-highs-on-tuesday,Lisa Levin,2020-02-04 00:00:00,ARE
Benzinga's Top Downgrades,https://www.benzinga.com/analyst-ratings/downgrades/12/08/2851095/benzingas-top-downgrades,Lisa Levin,2012-08-22 00:00:00,GPI
Assessing An Active Momentum ETF,https://www.benzinga.com/trading-ideas/long-ideas/17/06/9622707/assessing-an-active-momentum-etf,ETF Professor,2017-06-19 00:00:00,BCO
J.P. Morgan Says Change Is Underway For Office Depot,https://www.benzinga.com/analyst-ratings/analyst-color/11/02/890166/j-p-morgan-says-change-is-underway-for-office-depot,BenzingaStaffB,2011-02-28 00:00:00,ODP
Brent Settles Near Above $111 As Global Economy Improves,https://www.benzinga.com/news/13/01/3254785/brent-settles-near-above-111-as-global-economy-improves,Laura Brodbeck,2013-01-18 00:00:00,DBC
Egalet 8-K Shows Co. Is Party To Deal With Apotex Which Permits Potential Launch Of Authorized Generic For SPRIX Nasal Spray In Mar. '18,https://www.benzinga.com/news/17/11/10836413/egalet-8-k-shows-co-is-party-to-deal-with-apotex-which-permits-potential-launch-,Paul Quintaro,2017-11-27 00:00:00,EGLT
Notable Put Options Activity in Cameron International,https://www.benzinga.com/markets/options/12/02/2312383/notable-put-options-activity-in-cameron-international,Michael J. Zerinskas,2012-02-02 00:00:00,CAM
"Stocks To Watch For September 11, 2014",https://www.benzinga.com/news/earnings/14/09/4841843/stocks-to-watch-for-september-11-2014,Monica Gerson,2014-09-11 00:00:00,JDSU
"Option Alert: CVA Jun 2015 $25 Call; 16,534 Contracts On Ask @ $0.85",https://www.benzinga.com/markets/options/14/12/5071844/option-alert-cva-jun-2015-25-call-16-534-contracts-on-ask-0-85,Hal Lindon,2014-12-10 00:00:00,CVA
Greenbrier Companies Reports Q2 Adjusted EPS of $0.51 vs $0.60 Est; Revenue of $302.20M vs $508.69M Est,https://www.benzinga.com/news/earnings/14/04/4442928/greenbrier-companies-reports-q2-adjusted-eps-of-0-51-vs-0-60-est-revenue,Charles Gross,2014-04-03 00:00:00,GBX
"SunTrust Robinson Humphrey Maintains Hold on Hasbro, Lowers Price Target to $102",https://www.benzinga.com/news/19/10/14644825/suntrust-robinson-humphrey-maintains-hold-on-hasbro-lowers-price-target-to-102,Benzinga_Newsdesk,2019-10-23 00:00:00,HAS
Execs Giving CES Keynote Speeches Could Create Volatility For Shareholders,https://www.benzinga.com/news/17/01/8873798/execs-giving-ces-keynote-speeches-could-create-volatility-for-shareholders,Shanthi Rexaline,2017-01-05 00:00:00,FOXA
Market Roundup,https://www.benzinga.com/news/10/12/733214/market-roundup,Lisa Levin,2010-12-27 00:00:00,FITB
Qualcomm Offers Statement Following Reduced Broadcom Bid,https://www.benzinga.com/news/m-a/18/02/11236085/qualcomm-offers-statement-following-reduced-broadcom-bid,Paul Quintaro,2018-02-21 00:00:00,AVGO
Cytori Receives Approval From FDA to Initiate U.S. Cardiac Cell Therapy Trial; Investigational Device Exemption Approved for ATHENA,https://www.benzinga.com/news/12/01/2298537/cytori-receives-approval-from-fda-to-initiate-u-s-cardiac-cell-therapy-trial-inve,Allie Wickman,2012-01-30 00:00:00,CMI
"Huntington Ingalls Has A Leadership Position In Defense, Buckingham Says In Bullish Initiation",https://www.benzinga.com/analyst-ratings/analyst-color/18/09/12342574/huntington-ingalls-has-a-leadership-position-in-defense,Jayson Derrick,2018-09-12 00:00:00,LMT
"Icahn Enterprises Q4 EPS $(0.74) Vs. $8.03 YoY, Sales $2.621B Miss $2.95B Estimate",https://www.benzinga.com/news/earnings/20/02/15440211/icahn-enterprises-q4-eps-0-74-vs-8-03-yoy-sales-2-621b-miss-2-95b-estimate,Benzinga Newsdesk,2020-02-28 09:06:55-04:00,IEP
"Deckers Issues UPdate On Process Of Adding Independent Directors to BoD, Urges Stockholders to Vote ""FOR"" All of Deckers Nominees On WHITE Proxy Card TODAY",https://www.benzinga.com/news/management/17/12/10867354/deckers-issues-update-on-process-of-adding-independent-directors-to-b,Hal Lindon,2017-12-04 00:00:00,DECK
Natixis Downgrades Carnival Corporation to Reduce,https://www.benzinga.com/news/13/09/3940609/natixis-downgrades-carnival-corporation-to-reduce,Paul Quintaro,2013-09-25 00:00:00,CCL
Denny's Shares Down ~3% Following Wedbush Downgrade to Neutral,https://www.benzinga.com/news/14/02/4315923/dennys-shares-down-3-following-wedbush-downgrade-to-neutral,Paul Quintaro,2014-02-18 00:00:00,DENN
"Citigroup Upgrades NRG Energy from Neutral to Buy, Raises PT from $24 to $26",https://www.benzinga.com/analyst-ratings/upgrades/12/11/3055334/citigroup-upgrades-nrg-energy-from-neutral-to-buy-raises-pt-f,Juan Lopez,2012-11-05 00:00:00,NRG
NYSE Suspends Trading In India Globalization Capital,https://www.benzinga.com/markets/cannabis/18/10/12584988/nyse-suspends-trading-in-india-globalization-capital,Wayne Duggan,2018-10-29 00:00:00,IGC
"Earnings Scheduled For March 5, 2013",https://www.benzinga.com/news/earnings/13/03/3389148/earnings-scheduled-for-march-5-2013,Monica Gerson,2013-03-05 00:00:00,MPO
ADT shares are trading lower. Not seeing any news to justify the price action.,https://www.benzinga.com/wiim/20/01/15093539/adt-shares-are-trading-lower-not-seeing-any-news-to-justify-the-price-action,Benzinga Newsdesk,2020-01-08 00:00:00,ADT
"UPDATE: Total Value of Seagate, Dot Hill Deal ~$694M",https://www.benzinga.com/news/15/08/5775445/update-total-value-of-seagate-dot-hill-deal-694m,Paul Quintaro,2015-08-18 00:00:00,HILL
"Chemours Falling On Teflon Related Trial Cancers, David Freeman Awarded $5.1M Against DuPont, Will Receive Punitive Damages",https://www.benzinga.com/news/16/07/8189786/chemours-falling-on-teflon-related-trial-cancers-david-freeman-awarded-5-1m-again,Paul Quintaro,2016-07-06 00:00:00,DD
"PMC - Sierra, Inc. Reports Q4 EPS of $0.12 vs $0.10 Est; Revenue of $129.40M vs $126.50M Est",https://www.benzinga.com/news/earnings/13/01/3294467/pmc-sierra-inc-reports-q4-eps-of-0-12-vs-0-10-est-revenue-of-129-40m-vs-,Paul Quintaro,2013-01-31 00:00:00,PMCS
"Insulet Q2 EPS $0.02, Inline, Sales $177.1M Beat $163.66M Estimate",https://www.benzinga.com/news/earnings/19/08/14203478/insulet-q2-eps-0-02-inline-sales-177-1m-beat-163-66m-estimate,Benzinga Newsdesk,2019-08-05 00:00:00,PODD
Top 4 Stocks In The Water Utilities Industry With The Highest Cash,https://www.benzinga.com/trading-ideas/12/05/2629704/top-4-stocks-in-the-water-utilities-industry-with-the-highest-cash,Monica Gerson,2012-05-30 00:00:00,AWK
Sterne Agee Dropping Coverage Of Sterling Bancshares,https://www.benzinga.com/analyst-ratings/analyst-color/11/04/974689/sterne-agee-dropping-coverage-of-sterling-bancshares,BenzingaStaffB,2011-04-04 00:00:00,CMA
"Guggenheim Maintains Buy on Five Below, Raises Price Target to $105",https://www.benzinga.com/news/20/04/15922430/guggenheim-maintains-buy-on-five-below-raises-price-target-to-105,Benzinga_Newsdesk,2020-04-30 00:00:00,FIVE
Mid-Day Market Update: Inogen Jumps On Upbeat Results; Foresight Energy Shares Decline,https://www.benzinga.com/news/earnings/16/03/7714304/mid-day-market-update-inogen-jumps-on-upbeat-results-foresight-energy-sh,Lisa Levin,2016-03-15 00:00:00,PDFS
Global X Uranium ETF Makes Debut On Friday,https://www.benzinga.com/general/10/11/576950/global-x-uranium-etf-makes-debut-on-friday,ETF Professor,2010-11-03 00:00:00,CCJ
Morgan Stanley Upgrades Gerdau S.A. to Overweight,https://www.benzinga.com/news/13/10/3963680/morgan-stanley-upgrades-gerdau-s-a-to-overweight,Juan Lopez,2013-10-03 00:00:00,GGB
Chip Stocks Volatile Hearing Amid Report Intel Offered Response To Report Of Security Research Findings,https://www.benzinga.com/news/rumors/18/01/10981259/chip-stocks-volatile-hearing-amid-report-intel-offered-response-to-report,Paul Quintaro,2018-01-03 00:00:00,NVDA
72 Stocks Moving In Thursday's Mid-Day Session,https://www.benzinga.com/news/19/08/14182928/72-stocks-moving-in-thursdays-mid-day-session,Lisa Levin,2019-08-01 00:00:00,OI
'China Car Sales Slump 92% in First Half of February on Virus' -Bloomberg Article From Late Thurs.,https://www.benzinga.com/news/20/02/15382470/china-car-sales-slump-92-in-first-half-of-february-on-virus-bloomberg-article-from-late-thurs,Benzinga Newsdesk,2020-02-21 00:00:00,FCAU
"LiveDeal Launches LiveDeal.com, a Real-Time Deal Engine",https://www.benzinga.com/news/13/09/3927222/livedeal-launches-livedeal-com-a-real-time-deal-engine,Paul Quintaro,2013-09-19 00:00:00,LIVE
MAXIMUS Signs Definitive Agreement to Acquire Policy Studies Inc. for $67 Million Cash,https://www.benzinga.com/news/12/04/2490460/maximus-signs-definitive-agreement-to-acquire-policy-studies-inc-for-67-million-c,Allie Wickman,2012-04-12 00:00:00,MMS
UPDATE: Deutsche Bank Maintains Buy on Macy's on Solid 1Q Print,https://www.benzinga.com/analyst-ratings/analyst-color/13/05/3592786/update-deutsche-bank-maintains-buy-on-macys-on-solid-1q-,Garet Zatz,2013-05-15 00:00:00,M
"Market Update: SPX Support Comes Into Play as Oil, China Test Stocks",https://www.benzinga.com/news/16/01/6125211/market-update-spx-support-comes-into-play-as-oil-china-test-stocks,The Ticker Tape,2016-01-07 00:00:00,KBH
Watch These 7 Huge Call Purchases In Friday Trade,https://www.benzinga.com/news/16/07/8221076/watch-these-7-huge-call-purchases-in-friday-trade,Monica Gerson,2016-07-15 00:00:00,EBAY
"Harmony Gold, Peers Finish Day Down",https://www.benzinga.com/movers/16/03/7752999/harmony-gold-peers-finish-day-down,Amy Weingarden,2016-03-23 00:00:00,GOLD
"ETFs to Watch June 10, 2013 (EMB, FXP, KOL)",https://www.benzinga.com/trading-ideas/long-ideas/13/06/3659944/etfs-to-watch-june-10-2013-emb-fxp-kol,ETF Professor,2013-06-10 00:00:00,KOL
UPDATE: EA Spokesman Says Job Cuts Relatively Small,https://www.benzinga.com/news/12/05/2565989/update-ea-spokesman-says-job-cuts-relatively-small,Eddie Staley,2012-05-07 00:00:00,EA
Shares of several real estate companies are trading higher amid economic optimism after the US Senate passed a $2 trillion stimulus package.,https://www.benzinga.com/wiim/20/03/15674219/shares-of-several-real-estate-companies-are-trading-higher-amid-economic-optimism-after-the-us-senat,Benzinga Newsdesk,2020-03-26 00:00:00,ARI
Uncertain Cyprus Bailout Drags Euro Below $1.30,https://www.benzinga.com/news/13/03/3415692/uncertain-cyprus-bailout-drags-euro-below-1-30,Laura Brodbeck,2013-03-14 00:00:00,EWP
"Shares of several oil companies are trading higher as oil prices rally after the US and China agreed to restart trade negotiations. Additionally, OPEC said it would extend output cuts into 2020, which is longer than previously expected.",https://www.benzinga.com/markets/wiim/19/07/14009750/shares-of-several-oil-companies-are-trading-higher-as-oil-prices-rally-after-the-us-and-china-agreed,Benzinga Newsdesk,2019-07-01 00:00:00,NOV
S&P Affirms Ratings on Hilton Worldwide; Outlook Raised from Stable to Positive,https://www.benzinga.com/news/14/06/4636147/s-p-affirms-ratings-on-hilton-worldwide-outlook-raised-from-stable-to-positive,Hal Lindon,2014-06-16 00:00:00,HLT
4 Suppliers The NYPD Could Choose For Its Long-Delayed Body-Cam Pilot Program,https://www.benzinga.com/trading-ideas/long-ideas/16/08/8337940/4-suppliers-the-nypd-could-choose-for-its-long-delayed-body-c,Jayson Derrick,2016-08-11 00:00:00,DGLY
"UPDATE: Miller Says Lennar Sees Average Margin Growth of 23-24% in FY 2013, Buying Land Now for 2014 and Beyond, Increased Communities 14% Year Over Year",https://www.benzinga.com/news/13/03/3432834/update-miller-says-lennar-sees-average-margin-growth-of-23-24-in-fy-2013-buying-l,Paul Quintaro,2013-03-20 00:00:00,LEN
Barclays Downgrades Big Lots,https://www.benzinga.com/analyst-ratings/analyst-color/14/06/4602901/barclays-downgrades-big-lots,Shazir Mucklai,2014-06-03 00:00:00,BIG
Century Bancorp Reports Q1 EPS $0.69 vs $0.56 Prior Year,https://www.benzinga.com/news/earnings/12/04/2485867/century-bancorp-reports-q1-eps-0-69-vs-0-56-prior-year,Paul Quintaro,2012-04-10 00:00:00,CNBKA
Stocks That Hit 52-Week Lows On Wednesday,https://www.benzinga.com/news/20/02/15313696/stocks-that-hit-52-week-lows-on-wednesday,Lisa Levin,2020-02-12 00:00:00,BNFT
40 Biggest Movers From Yesterday,https://www.benzinga.com/news/17/11/10822395/40-biggest-movers-from-yesterday,Lisa Levin,2017-11-22 00:00:00,OPHC
Pre-Market Imbalance Update: General Electric 258k Shares To Buy; Alibaba 121k Shares To Buy; Square 168k Shares To Buy; Pfizer 41k Shares To Sell; Bristol-Myers 51k Shares To Sell; Disney 70k Shares To Buy,https://www.benzinga.com/news/17/11/10736519/pre-market-imbalance-update-general-electric-258k-shares-to-buy-alibaba-121k-sha,Paul Quintaro,2017-11-07 00:00:00,PFE
"Shares of several oil & gas companies are trading lower after weak manufacturing data from Europe and Japan was released, potentially signaling low global demand for oil. Saudi Arabia is also restoring oil output faster than anticipated.",https://www.benzinga.com/markets/wiim/19/09/14481559/shares-of-several-oil-gas-companies-are-trading-lower-after-weak-manufacturing-data-from-europe-and,Benzinga Newsdesk,2019-09-24 00:00:00,PAA
"Wall Street's M&A Chatter From April 3: Panera, Syneron Medical, Akzo Nobel, Cowen",https://www.benzinga.com/news/17/04/9255055/wall-streets-m-a-chatter-from-april-3-panera-syneron-medical-akzo-nobel-cowen,Charles Gross,2017-04-04 00:00:00,DPZ
Kohl's Bucks The Trend In Retail With A Q3 Beat,https://www.benzinga.com/trading-ideas/technicals/15/11/5976097/kohls-bucks-the-trend-in-retail-with-a-q3-beat,Joel Elconin,2015-11-12 00:00:00,KSS
"Mantech Sees FY EPS $1.43-$1.54 vs $1.51 Est., Sales $1.6B-$1.7B vs $1.72B Est.",https://www.benzinga.com/news/15/04/5458373/mantech-sees-fy-eps-1-43-1-54-vs-1-51-est-sales-1-6b-1-7b-vs-1-72b-est,Paul Quintaro,2015-04-29 00:00:00,MANT
Ocean Power Technologies and Lockheed Martin to Collaborate on Utility Scale PowerBuoy for Oregon Wave Power Project,https://www.benzinga.com/news/11/09/1914086/ocean-power-technologies-and-lockheed-martin-to-collaborate-on-utility-scale-powe,Matthew Kennedy,2011-09-13 00:00:00,OPTT
KeyBanc Upgrades Dupont Fabros Technology to Overweight,https://www.benzinga.com/news/17/05/9382201/keybanc-upgrades-dupont-fabros-technology-to-overweight,Paul Quintaro,2017-05-02 00:00:00,DFT
Benzinga's Top #PreMarket Gainers,https://www.benzinga.com/news/14/04/4467470/benzingas-top-premarket-gainers,Monica Gerson,2014-04-14 00:00:00,EW
32 Healthcare Stocks Moving In Tuesday's Pre-Market Session,https://www.benzinga.com/news/19/09/14365230/32-healthcare-stocks-moving-in-tuesdays-pre-market-session,Lisa Levin,2019-09-03 00:00:00,CGIX
Hospitality Properties Increases Qtr. Distribution From $0.49 To $0.50/Share,https://www.benzinga.com/news/15/04/5401122/hospitality-properties-increases-qtr-distribution-from-0-49-to-0-50share,Hal Lindon,2015-04-13 00:00:00,HPT
"CONMED Announces Q2 EPS $0.47 vs $0.46 Est, Sales $193.4M vs $191.48M Est",https://www.benzinga.com/news/earnings/16/07/8268007/conmed-announces-q2-eps-0-47-vs-0-46-est-sales-193-4m-vs-191-48m-est,Hal Lindon,2016-07-27 00:00:00,CNMD
Hearing Renewed Takeover Chatter in Human Genome Sciences,https://www.benzinga.com/news/12/02/2332006/hearing-renewed-takeover-chatter-in-human-genome-sciences,Charles Gross,2012-02-09 00:00:00,GSK
